sessionId,sampleIndex,action,source,x,y,eventTimeNs
4,7449,MOVE,current,686.7822,1835.8184,740924377097419
4,7450,MOVE,historical,686.7002,1835.7998,740924391003000
4,7451,MOVE,current,686.6836,1835.7998,740924393734896
4,7452,MOVE,historical,686.5,1835.9004,740924399763000
4,7453,MOVE,current,686.44824,1835.9258,740924402049384
4,7454,MOVE,current,686.4004,1835.9004,740924424977000
4,7455,MOVE,current,686.4004,1836.0,740924450235000
4,7456,MOVE,current,686.2998,1836.0,740924475135000
4,7457,MOVE,historical,686.2002,1836.0,740924483327000
4,7458,MOVE,current,686.17676,1836.0,740924485229548
4,7459,MOVE,current,686.2002,1836.0996,740924904299000
4,7460,MOVE,current,686.0996,1836.0996,740925089159000
4,7461,MOVE,current,686.0,1836.2002,740925283634000
4,7462,MOVE,current,688.5996,1834.5996,740925812709000
4,7463,MOVE,historical,692.7002,1832.0,740925820901000
4,7464,MOVE,current,694.1748,1831.0645,740925823847995
4,7465,MOVE,historical,697.7002,1828.7998,740925828835000
4,7466,MOVE,current,699.8086,1827.4502,740925832181328
4,7467,MOVE,historical,703.0996,1825.2002,740925837328000
4,7468,MOVE,current,705.126,1823.8496,740925840514661
4,7469,MOVE,historical,708.7998,1821.2998,740925845518000
4,7470,MOVE,current,711.1172,1819.7139,740925848847994
4,7471,MOVE,historical,714.5996,1817.5,740925854175000
4,7472,MOVE,current,716.61426,1816.1807,740925857181327
4,7473,MOVE,historical,720.7002,1813.5,740925862311000
4,7474,MOVE,current,723.10156,1811.9248,740925865514660
4,7475,MOVE,historical,727.4004,1809.4004,740925870857000
4,7476,MOVE,current,729.6123,1808.0459,740925873678609
4,7477,MOVE,historical,734.2998,1805.2002,740925879125000
4,7478,MOVE,current,736.69336,1803.7432,740925881993219
4,7479,MOVE,historical,741.4004,1801.0,740925887558000
4,7480,MOVE,current,743.7158,1799.6299,740925890308342
4,7481,MOVE,historical,748.4004,1796.7998,740925896120000
4,7482,MOVE,current,750.4463,1795.5723,740925898623007
4,7483,MOVE,historical,754.9004,1792.9004,740925904332000
4,7484,MOVE,current,756.9629,1791.6621,740925906937770
4,7485,MOVE,historical,761.0996,1789.0,740925913308000
4,7486,MOVE,current,762.44336,1788.1553,740925915252444
4,7487,MOVE,historical,766.7998,1785.5996,740925921111000
4,7488,MOVE,current,768.5967,1784.5283,740925923570421
4,7489,MOVE,historical,772.2998,1782.2002,740925931168000
4,7490,MOVE,current,772.6914,1781.958,740925931883180
4,7491,MOVE,historical,777.5,1779.0,740925937958000
4,7492,MOVE,current,779.2158,1777.9443,740925940197960
4,7493,MOVE,historical,782.9004,1775.9004,740925946432000
4,7494,MOVE,current,784.22754,1775.1377,740925948514855
4,7495,MOVE,historical,788.7998,1772.7998,740925954646000
4,7496,MOVE,current,790.3701,1771.9756,740925956831541
4,7497,MOVE,historical,794.7002,1770.0,740925963396000
4,7498,MOVE,current,795.875,1769.4424,740925965138098
4,7499,MOVE,historical,800.5,1767.2998,740925971676000
4,7500,MOVE,current,801.73535,1766.7246,740925973439605
4,7501,MOVE,historical,806.0996,1764.7002,740925980138000
4,7502,MOVE,current,807.1699,1764.2031,740925981754833
